id,name,involveAs,profile_id,created_at,updated_at
158,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,42,"2010-06-16 11:31:58","2010-06-16 11:32:11"
159,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,42,"2010-06-16 11:32:22","2010-06-16 11:32:22"
160,"ค่าย 13/1 วันที่ 3-8 พ.ค.53 (มจธ.)",รุ่นพี่,42,"2010-06-16 11:32:33","2010-06-16 11:52:24"
161,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,43,"2010-06-16 11:38:25","2010-06-16 11:38:25"
162,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,43,"2010-06-16 11:38:35","2010-06-16 11:38:35"
163,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,43,"2010-06-16 11:38:45","2010-06-16 11:38:45"
164,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,43,"2010-06-16 11:38:56","2010-06-16 11:38:56"
165,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,43,"2010-06-16 11:39:06","2010-06-16 11:39:06"
166,"ค่าย 13/1 วันที่ 3-8 พ.ค.53 (มจธ.)",รุ่นพี่,43,"2010-06-16 11:39:18","2010-06-16 11:51:47"
167,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,44,"2010-06-16 11:44:01","2010-06-16 11:44:01"
168,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,44,"2010-06-16 11:44:33","2010-06-16 11:44:33"
169,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,44,"2010-06-16 11:44:48","2010-06-16 11:44:48"
170,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,44,"2010-06-16 11:45:01","2010-06-16 11:45:01"
171,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,45,"2010-06-16 11:48:55","2010-06-16 11:48:55"
172,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,45,"2010-06-16 11:49:05","2010-06-16 11:49:05"
173,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,45,"2010-06-16 11:49:23","2010-06-16 11:49:23"
174,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,45,"2010-06-16 11:49:39","2010-06-16 11:49:39"
